address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
6115 SW 8th Pl,Gainesville,FL,32607,39000,1016.0,2.0,1.5,1138,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/6115-SW-8th-Pl-Gainesville-FL-32607/42717378_zpid/
705 SW 75th St,Gainesville,FL,32607,49900,808.0,3.0,2.0,31,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/705-SW-75th-St-Gainesville-FL-32607/2110946410_zpid/
(Undisclosed Address),Gainesville,FL,32607,49000,1292.0,2.0,2.0,51,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-Gainesville-FL-32607/2093917637_zpid/
834 SW 56th Ter,Gainesville,FL,32607,104900,1106.0,2.0,2.0,53,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/834-SW-56th-Ter-Gainesville-FL-32607/42719551_zpid/
2300 SW 43rd St APT C4,Gainesville,FL,32607,82900,1133.0,2.0,3.0,53,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2300-SW-43rd-St-APT-C4-Gainesville-FL-32607/58879842_zpid/
4114 SW 15th Pl,Gainesville,FL,32607,81500,1178.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4114-SW-15th-Pl-Gainesville-FL-32607/70737226_zpid/
2321 39th Way C # C,Gainesville,FL,32607,72000,914.0,2.0,2.0,57,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2321-39th-Way-C-C-Gainesville-FL-32607/2093989682_zpid/
1110 SW 62nd Ter,Gainesville,FL,32607,309900,6294.0,0,NA,37,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1110-SW-62nd-Ter-Gainesville-FL-32607/2103615256_zpid/
4949 SW 10th Ln,Gainesville,FL,32607,149900,1683.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4949-SW-10th-Ln-Gainesville-FL-32607/58879792_zpid/
1933 SW 65th Dr,Gainesville,FL,32607,189999,1944.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1933-SW-65th-Dr-Gainesville-FL-32607/82034898_zpid/
821 SW 55th Ter,Gainesville,FL,32607,125000,1370.0,3.0,3.0,84,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/821-SW-55th-Ter-Gainesville-FL-32607/58883108_zpid/
2306 SW 42nd Dr UNIT 140,Gainesville,FL,32607,159900,1440.0,3.0,3.0,285,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2306-SW-42nd-Dr-UNIT-140-Gainesville-FL-32607/2096681477_zpid/
2831 NW 4th Ln,Gainesville,FL,32607,225000,2886.0,4.0,2.0,303,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2831-NW-4th-Ln-Gainesville-FL-32607/42716155_zpid/
840 SW 51st Way,Gainesville,FL,32607,125000,1250.0,2.0,2.0,157,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/840-SW-51st-Way-Gainesville-FL-32607/58879759_zpid/
4857 NW 2nd Pl,Gainesville,FL,32607,134900,1102.0,2.0,2.0,58,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4857-NW-2nd-Pl-Gainesville-FL-32607/58882696_zpid/
1203 SW 105th Ter,Gainesville,FL,32607,444000,3162.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1203-SW-105th-Ter-Gainesville-FL-32607/66686008_zpid/
212 SW 43rd Ter,Gainesville,FL,32607,299000,1951.0,3.0,2.0,31,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/212-SW-43rd-Ter-Gainesville-FL-32607/42716967_zpid/
1808 SW 75th Ter,Gainesville,FL,32607,290000,2943.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1808-SW-75th-Ter-Gainesville-FL-32607/42719694_zpid/
5012 NW 1st Pl,Gainesville,FL,32607,132500,976.0,2.0,2.0,101,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5012-NW-1st-Pl-Gainesville-FL-32607/54478155_zpid/
820 SW 57th Ter,Gainesville,FL,32607,129900,1370.0,3.0,3.0,59,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/820-SW-57th-Ter-Gainesville-FL-32607/58879703_zpid/
